sentença,sentimento
Passei um dia na praia e me senti em paz.,1
Não tenho espaço para negatividade na minha vida.,1
Não sou feliz.,0
Estou feliz por você.,1
Recebi uma notícia que vai mudar minha vida e estou muito entusiasmado(a).,1
Não vejo mais solução para meus problemas.,0
Eu me sinto culpado pelos meus amigos.,0
Às vezes me sinto como um fardo na vida das pessoas que amo.,0
Sou grato por ter a oportunidade de aprender e evoluir todos os dias.,1
Que alegria é poder acordar e dar bom dia para quem amamos!,1
Estou muito feliz por ter uma família grande e unida.,1
Minha vida é uma mesmice sem fim.,0
Não existem limites para meus sonhos e vontades.,1
Não há nada melhor do que estar cercado de amor e felicidade.,1
Não consigo superar minhas mágoas do passado.,0
Não tenho controle sobre minha vida,0
Minha saúde está cada vez pior.,0
Eu me sinto um peso para as pessoas,0
Não consigo parar de sorrir.,1
Não vejo um futuro melhor.,0
Eu sou invisível.,0
Passei por um assalto e agora tenho medo de sair de casa sozinho.,0
Eu me sinto rejeitado.,0
Tudo em minha vida é tão triste e desolador.,0
A vida é tão injusta comigo.,0
Acredito na força do pensamento positivo e da fé para alcançar meus objetivos.,1
Meu time foi eliminado da competição.,0
Estou cansado de ser enganado e iludido pelas pessoas.,0
Eu não sei como viver.,0
O abraço do meu cachorro é o melhor remédio para um dia ruim.,1
65. É difícil encontrar motivação para viver quando você não vê um futuro promissor.,0
Sou abençoado por ter um lar aconchegante para voltar todos os dias.,1
 ,1
Parece que estou sempre um passo atrás dos outros,0
"Não aguento mais os problemas no trabalho, tudo está dando errado.",0
Você me magoou profundamente e não consigo perdoar,0
Não tenho motivação para nada,0
Não sou capaz de perdoar aqueles que me machucaram,0
A felicidade é mais verdadeira ao seu lado.,1
Meu vizinho me presenteou com frutas frescas colhidas do seu pomar.,1
"39. Não importa o quanto me esforce, parece que nunca é suficiente.",0
Não acredito que as coisas podem melhorar para mim.,0
Cada desafio superado me deixa mais forte e confiante.,1
Aprender algo novo sempre me inspira e me enche de alegria.,1
Acredito na sua felicidade!,1
Eu amo o mundo.,1
Recebi uma ligação de cobrança sobre uma dívida que eu não sabia que tinha.,0
Estou animado(a) para viajar no final de semana e relaxar.,1
Eu estou chateado.,0
Recebi uma notícia maravilhosa hoje.,1
A vida é uma aventura cheia de possibilidades.,1
A vida é cheia de surpresas maravilhosas.,1
Recebi uma notícia maravilhosa hoje e estou radiante!,1
89. Acho que nunca vou ser capaz de superar essa dor.,0
É difícil até de respirar quando penso em você,0
"Estou cansado de sempre dar o primeiro passo, queria que alguém se importasse comigo.",0
Receber um elogio inesperado me deixa extremamente feliz.,1
Eu estou sempre buscando aprender coisas novas.,1
Fui a uma festa e reencontrei pessoas que não via há muito tempo.,1
O sucesso é a soma de pequenos esforços repetidos dia após dia.,1
Eu me sinto perdido no mundo.,0
Tenho saudades de estar ao seu lado!,1
Não consigo confiar em mim mesmo após tantos erros,0
Você é muito talentoso.,1
A vida é um presente.,1
Obrigado por ser tão especial em minha vida.,1
Não sou bom o suficiente para minha família,0
Conheci uma pessoa nova e nos tornamos amigos.,1
Eu me sinto arrependido pelo mundo.,0
Eu sou um bom parceiro/parceira.,1
Não aguento mais ser ignorado.,0
Tomei um café da manhã com vista para a praia.,1
Eu sou grato por ter você na minha vida.,1
Tive que passar por uma cirurgia de emergência e agora tenho que lidar com dores constantes.,0
"Agradeço pelo carinho dos meus animais de estimação, eles me fazem companhia nos momentos mais difíceis.",1
Eu me sinto humilhado pelos meus amigos.,0
Não há nada que me deixe mais feliz do que fazer o bem ao próximo.,1
Sinto-me excluído do mundo,0
"A cada dia que passa, sinto que estou me afastando mais das pessoas e isso me assusta.",0
12. Nenhum elogio é suficiente para me fazer sentir bem quando eu sinto que não sou bom o suficiente.,0
82. Me sinto um fracasso como profissional e isso me destrói a cada dia.,0
Parece que estou sempre preso nesse ciclo de tristeza e desesperança,0
Receber um abraço apertado de alguém que amo é a melhor sensação do mundo.,1
Meu computador quebrou e perdi todos os meus arquivos importantes.,0
Meu time de futebol ganhou o jogo e estou eufórico.,1
Eu me sinto inútil para o mundo.,0
Estou cercado de pessoas que me fazem bem e me motivam a ser melhor.,1
Sinto que ninguém realmente se importa comigo ou com o que eu sinto,0
Você partiu meu coração em mil pedaços,0
Meu chefe não valoriza meu trabalho e sempre encontra motivo para me criticar.,0
Eu sou grato pelas oportunidades que recebo.,1
Agradeço pelo apoio dos meus amigos e familiares em todos os momentos da minha vida.,1
Eu não mereço viver.,0
Receber uma notícia positiva sobre a saúde de um ente querido sempre me deixa aliviado.,1
Eu me sinto humilhado pela sociedade.,0
Sou uma pessoa otimista e positiva.,1
Ter você na minha vida é uma benção!,1
A vida é um presente e sou grato por poder vivê-la intensamente.,1
O mundo é um lugar cruel.,0
Eu sou abençoado por estar vivo.,1
Eu sou grato por todas as experiências que a vida me proporciona.,1
Sou grato por ter a oportunidade de acordar todos os dias com uma nova chance de ser feliz.,1
Fiz uma refeição deliciosa.,1
Meu tênis novo rasgou no primeiro dia de uso.,0
Ninguém se importa com meus sentimentos.,0
Ter um dia cheio de atividades produtivas sempre me deixa satisfeito.,1
É incrível quando uma ideia se transforma em um projeto de sucesso.,1
Realizei uma tarefa que estava procrastinando e me sinto aliviada.,1
Minha família sempre traz alegria para minha vida.,1
Me sinto preso em um ciclo interminável de decepções,0
Me sinto incapaz de realizar meus sonhos e objetivos.,0
Nada é pior do que se sentir como um fracasso.,0
Minha autoestima está cada vez mais baixa.,0
"Estou cansado de ter que sempre ser forte, eu também preciso de alguém para me apoiar.",0
Não tenho nenhum talento.,0
"O sorriso do meu filho sempre alegra meu dia.""",1
Meu time ganhou o campeonato.,1
Eu estou animado para o futuro.,1
"Não sei mais o que fazer para agradar meu chefe, parece que nada é suficiente.",0
Fiz um passeio de barco e vi golfinhos nadando ao redor.,1
Fui ao cinema e assisti a um filme que me fez rir do começo ao fim.,1
81. Não é fácil amar alguém quando você está quebrado por dentro.,0
Eu nunca recebo o reconhecimento que mereço.,0
Essa sensação de fracasso é constante e me faz pensar se sou bom o suficiente para alguma coisa.,0
"A vida é feita de escolhas, faça escolhas que te fazem feliz.",1
Estou me sentindo completamente derrotado.,0
Eu sou feliz comigo mesmo.,1
Recebi o abraço apertado do meu sobrinho.,1
Eu sou um ser de paz.,1
Eu não quero mais nada dessa vida.,0
Tudo parece estar desmoronando na minha frente,0
Sinto que ninguém se importa com o que eu sinto ou penso.,0
Minha vida é um reflexo dos meus pensamentos e eu escolho pensar positivo.,1
Meu carro foi arranhado no estacionamento.,0
37. Sinto como se ninguém realmente se importasse com o que eu penso ou sinto.,0
"29. O tempo é implacável, não tem como voltar atrás e consertar as coisas.",0
Estou apaixonada e sou grata pela pessoa maravilhosa que tenho ao meu lado.,1
Agradeço por ter amigos tão especiais.,1
Não consigo encontrar forças para seguir em frente,0
Não tenho mais motivação para seguir em frente.,0
Não encontro uma saída para essa escuridão que me domina.,0
Recebi um elogio sobre meu trabalho e me senti motivado a continuar.,1
Eu me sinto inadequado para minha família.,0
A vida é maravilhosa e eu sou grato por vivê-la intensamente.,1
Estou cheio de energia e motivação para enfrentar qualquer desafio.,1
Estou muito grato por ter uma casa confortável para voltar todos os dias.,1
Eu me sinto rejeitado por mim mesmo.,0
Não há mais amor em meu coração.,0
Ter um propósito e trabalhar em algo que amo é muito gratificante.,1
Estou sempre aberto a novas experiências e oportunidades.,1
Eu conheci pessoas incríveis hoje.,1
Recebi uma mensagem de texto de alguém que amo.,1
Estou sobrecarregado de responsabilidades.,0
A persistência leva à conquista.,1
Recebi uma ligação de alguém que admiro muito.,1
Foi maravilhoso passar o dia com minha família.,1
Não consigo ser produtivo no trabalho e sempre sou criticado pelo meu chefe.,0
"A vida é uma aventura, aproveite o passeio.",1
Adoro quando consigo encontrar um equilíbrio entre trabalho e lazer.,1
A cada dia me sinto mais realizado.,1
Estou enfrentando problemas de saúde que afetam minha qualidade de vida.,0
Não consigo enxergar um futuro melhor,0
É maravilhoso ter um animal de estimação que me traz tanto amor e companhia.,1
Eu me sinto perdido na carreira.,0
Recebi uma mensagem de agradecimento de um cliente.,1
Não conseguir realizar meus sonhos é uma dor que não passa.,0
Estou rodeada de amor e isso me faz muito feliz.,1
Não vejo um final feliz para mim.,0
Recebi uma visita de um amigo querido.,1
Eu tenho muita gratidão pela minha vida.,1
23. É difícil se sentir bem quando você se sente excluído de tudo e de todos.,0
Meu time foi eliminado do campeonato no último jogo.,0
Nada é capaz de me abalar.,1
Não tenho ninguém para me apoiar,0
Ninguém se importa com o que eu sinto.,0
Eu me sinto inadequado pelos meus amigos.,0
Eu sou grato pela minha saúde.,1
Sou grato por todas as conquistas que alcancei até hoje.,1
"Mesmo nos momentos difíceis, consigo encontrar algo para agradecer.",1
Meu coração está cheio de amor para dar.,1
"Com você ao meu lado, sei que vou conquistar tudo o que desejo!",1
Não sei mais como seguir em frente.,0
"Não quero falar com ninguém, só quero ficar sozinho.",0
Eu estou muito orgulhoso de você.,1
A vida é uma jornada e eu escolho aproveitar cada momento.,1
Minha vida ganhou um sentido maior desde que te conheci.,1
Eu sou forte e resiliente diante dos desafios.,1
Recebi uma mensagem de agradecimento de um colega de trabalho.,1
Recebi uma ótima notícia hoje.,1
Estou cansado(a) de ter que lidar com pessoas falsas e interesseiras.,0
Não encontro paz em lugar nenhum.,0
"Estou com medo de ser rejeitado novamente, é sempre a mesma história.",0
Eu não consigo sair da cama.,0
Esse sorriso nunca sai do meu rosto.,1
Minhas ações são guiadas pelo amor e pela positividade.,1
A verdadeira beleza vem de dentro.,1
Sou muito cobrado pela minha família e não consigo atender todas as expectativas.,0
Apenas mais um dia de tristeza e desânimo.,0
Eu estou com raiva de tudo.,0
Não sei mais o que fazer para mudar minha situação.,0
As coisas nunca melhoram.,0
Sinto como se todos estivessem contra mim.,0
Meu despertador não tocou.,0
Assisti ao show da minha banda favorita.,1
Sua determinação é inspiradora!,1
Não há problema que não se resolva quando estou ao seu lado.,1
"Não sei como vou superar essa perda, meu coração está partido.",0
Nada que eu faça é bom o suficiente.,0
Acordei com a notícia de que passei no concurso público.,1
O mundo precisa de mais pessoas como você!,1
É maravilhoso relaxar em uma tarde de domingo sem preocupações.,1
Obrigado por me mostrar o lado bom da vida!,1
Te admiro por ser quem você é!,1
Sou grato pelo amor incondicional que recebo da minha família.,1
Minha saúde está piorando e não sei o que fazer.,0
Sinto que estou destinado ao fracasso em tudo que faço,0
"Eu sou grato por ter uma família amorosa ao meu lado.""",1
24. A vida pode ser cruel e injusta demais às vezes.,0
Fiz uma viagem incrível e criei memórias inesquecíveis.,1
Não sou digno de amor.,0
"Quando estamos juntos, tudo fica mais belo e emocionante.",1
A honestidade é um valor que prezo muito em todas as minhas relações.,1
Meu coração bate mais forte quando penso em você.,1
Eu não quero viver.,0
"Não consigo confiar em mais ninguém, todos parecem ter segundas intenções.",0
O amor é o sentimento mais bonito e puro que existe.,1
Não suporto mais ouvir as mesmas desculpas.,0
Não me sinto bom o suficiente para nada,0
"96. Me sinto perdido e sem rumo, sem saber qual é o meu lugar no mundo.",0
Hoje é um dia para celebrar!,1
Minha empresa está passando por dificuldades financeiras e não sei se vou conseguir manter meu emprego.,0
Não consigo mais suportar essa angústia.,0
Acreditar em mim mesmo é a chave para alcançar meus sonhos.,1
Eu me sinto desvalorizado por mim mesmo.,0
Adoro relembrar momentos felizes e reviver as emoções.,1
Eu estou cantando.,1
Me sinto confiante e determinado em alcançar meus objetivos.,1
Sinto-me amado e apreciado.,1
A vida é uma jornada maravilhosa e cheia de aprendizados.,1
Meu coração é cheio de amor e isso me faz uma pessoa melhor.,1
Não tenho ninguém para desabafar.,0
Não sei como enfrentar meus problemas sem ajuda.,0
Fiz uma doação de sangue e sei que posso ter salvado uma vida.,1
Eu estou triste.,0
"Não tenho mais forças para lutar, estou desistindo.",0
Estou muito animado para experimentar uma nova aventura e explorar novos lugares.,1
Minha amiga não respeitou meu espaço e foi embora do meu aniversário antes de meus outros convidados.,0
"Não me sinto à vontade em nenhum lugar, sempre me sinto deslocado(a).",0
Minha família é o meu maior tesouro.,1
Eu me senti completo hoje.,1
Eu estou desapontado.,0
Nada nessa vida parece valer a pena.,0
Sinto que sou um peso para as pessoas ao meu redor.,0
Eu estou frustrado.,0
Nada é mais gostoso do que receber seu carinho.,1
Minha fé é minha maior força e me traz muita paz.,1
Eu não consigo pensar direito.,0
Receber um abraço apertado após um dia difícil sempre me faz sentir melhor.,1
Adorei esse programa!,1
A gratidão é um exercício diário que me faz bem.,1
"A felicidade não é um destino, é uma jornada.",1
"Agradecer pela saúde e bem-estar é uma atitude positiva que me faz muito bem.""",1
Eu amo a poesia.,1
Acordei com uma espinha enorme no rosto.,0
Estou cansado de sempre me sentir rejeitado.,0
Não sou respeitado no trabalho,0
Não consigo lidar com minhas próprias inseguranças.,0
"Ganhei um aumento salarial, estou radiante!",1
Meu amor por você só cresce!,1
Não aguento mais a pressão e o estresse do trabalho.,0
Não tenho coragem para mudar minha vida.,0
Eu sou otimista sobre o futuro.,1
Tenho tudo o que preciso para ser feliz.,1
Obrigado por fazerem parte da minha vida e torná-la mais leve.,1
"Sou uma pessoa única, com uma história e um propósito únicos.",1
"Não consigo parar de me culpar por ter falhado, deveria ter sido mais forte.",0
A positividade me move e me ajuda a superar qualquer dificuldade.,1
Estou cansado de sempre ser a segunda opção de todos,0
Meu celular não salvou as fotos que eu tinha tirado.,0
Estou sempre estressado e ansioso.,0
Sinto que estou sempre levando a pior,0
Eu me sinto inadequado para minha família.,0
"A cada dia que passa, me sinto mais apaixonado(a) pela minha profissão.",1
Receber um elogio do meu chefe ou professor sempre me enche de orgulho.,1
90. Sinto como se ninguém me entendesse de verdade.,0
Você é muito mais do que posso pedir a Deus!,1
Consegui superar um obstáculo importante.,1
Me sinto estúpido e incapaz.,0
Sinto que não tenho forças para me levantar de novo,0
Cada dia ao seu lado é um presente.,1
Sinto-me preso em um relacionamento ruim,0
Não consigo achar graça na vida,0
A positividade é meu mantra e me acompanha em tudo que faço.,1
A bondade é a força do mundo.,1
Agradeço por ter pessoas incríveis na minha vida.,1
Dancei sem me importar com nada.,1
Almocei em um restaurante com vista para o mar.,1
Acho que meus vizinhos só sabem fazer barulho.,0
Estou cansado de trabalhar tanto e não ser reconhecido.,0
Não consigo me livrar dessa escuridão que me consome.,0
"A cada obstáculo, me torno mais forte e determinado.",1
Tudo em minha vida é um ciclo sem fim de tristeza.,0
Todas as minhas esperanças foram destruídas,0
Tenho medo de morrer e não ter vivido plenamente.,0
O carinho dos meus pais é o que me dá forças para seguir em frente.,1
Realizei uma atividade que sempre quis fazer.,1
Não suporto mais meu trabalho.,0
A dor de ter perdido alguém que amo é um buraco que nunca pode ser preenchido.,0
Acredito que coisas boas estão por vir e isso me deixa esperançoso(a).,1
Terminei um relacionamento que durou anos e não sei como seguir em frente.,0
Sou grato por todas as pessoas que me apoiam e me amam.,1
É bom demais rir e sorrir com as pessoas que amamos.,1
Minha energia positiva atrai coisas boas para minha vida.,1
Fiz uma viagem com amigos e criamos memórias inesquecíveis.,1
A vida é uma miséria.,0
Consegui dormir a noite toda sem interrupções e acordei renovado.,1
Fui promovido no meu trabalho e estou extremamente feliz.,1
Fui a um parque de diversões e me diverti como se fosse criança.,1
O dia mal começou e já estou exausto,0
Essa dor no peito parece nunca ter fim e me sufoca a cada dia.,0
Meu time perdeu nos pênaltis.,0
Sou fonte de inspiração para muitos.,1
Sei que vou falhar mais uma vez.,0
Adoro quando meus planos de viagem se transformam em experiências inesquecíveis.,1
O sol está brilhando e o dia promete ser maravilhoso.,1
25. É triste ver que as pessoas estão mais preocupadas em mostrar uma vida perfeita nas redes sociais do que viver uma vida feliz.,0
"Detesto verduras, não importa quão saudáveis sejam.",0
Sinto que não tenho ninguém para compartilhar meus sentimentos,0
Sinto angústia e ansiedade todos os dias.,0
Eu não consigo sentir nada.,0
"Nada consegue me animar, estou em um estado de tristeza profunda.",0
Não sou bom o suficiente para fazer as coisas certas.,0
A sensação de dever cumprido é indescritível.,1
Amigos que eu achava que eram verdadeiros revelaram seus verdadeiros interesses e me abandonaram.,0
Eu tenho gratidão pelas oportunidades de crescimento.,1
Não consigo lidar com tantas responsabilidades,0
Fui a um lugar que sempre quis conhecer e a experiência foi incrível.,1
Recebi um presente que estava na minha lista de desejos há tempos e me senti feliz.,1
Receber um abraço carinhoso é uma das coisas mais reconfortantes.,1
Minha colega de trabalho não para de falar mal de mim pelas costas.,0
Recebi uma surpresa romântica do meu parceira e me senti amada.,1
Você é eu empreendedor de sucesso!,1
Me sinto um completo fracasso.,0
Eu me sinto rejeitado por mim mesmo.,0
Meu colega de quarto não ajuda nas tarefas domésticas e ainda reclama quando eu peço ajuda.,0
Eu adoro estar rodeado de pessoas positivas.,1
A felicidade está nas pequenas coisas e eu sei valorizá-las.,1
Você é um exemplo de humildade e amor ao próximo!,1
Recebi uma mensagem de parabéns pelo meu aniversário e me senti especial.,1
Faça hoje tão incrível que ontem fique com ciúmes.,1
"Adoro passar horas conversando com você, o tempo simplesmente voa.",1
Nada parece dar certo para mim.,0
100. Não há nada pior do que ver alguém que você ama sofrendo e não poder fazer nada para ajudar.,0
Estou tão cansado de sempre ser o esquecido,0
A vida é maravilhosa e eu a vivo intensamente.,1
Estou rodeado de coisas bonitas e positivas em minha jornada.,1
Recebi uma ligação de um familiar que mora longe e a saudade diminuiu um pouco.,1
Acredito no poder do amor e da bondade para transformar o mundo.,1
Não tenho confiança o suficiente para enfrentar meus medos.,0
Recebi uma mensagem de um(a) ex-colega de trabalho e pude relembrar bons momentos.,1
Nunca faltará amor e carinho em nossa amizade.,1
A alegria está nas pequenas coisas da vida.,1
O trânsito está um caos e não chego nunca em casa.,0
Descobri que fui enganado por um amigo em um negócio e perdi muito dinheiro.,0
Eu estou me sentindo grato.,1
Seja a mudança que você quer ver no mundo.,1
Tenho muito amor próprio e isso me torna feliz.,1
Eu me sinto humilhado pela minha família.,0
"Estou chateado com a minha incapacidade de fazer algo diferente, sou uma pessoa sem graça.",0
A vida é maravilhosa quando olhamos para o lado positivo.,1
Eu estou com raiva de mim mesmo.,0
Não consigo encontrar uma saída dessa espiral de negatividade,0
Eu estou me sentindo amado.,1
Descobri uma nova paixão e isso me deixou empolgada.,1
Não consigo mais confiar nas pessoas.,0
É incrível quando consigo me desafiar e aprender coisas novas.,1
Acredito no poder do amor e da empatia para criar um mundo mais justo e harmonioso.,1
Dar um passeio em um parque ou jardim sempre me traz paz e tranquilidade.,1
Tudo parece estar contra mim,0
Perdi o ônibus mais uma vez.,0
Eu me sinto desvalorizado pela minha família.,0
7. Sinto que as pessoas só se aproximam de mim quando precisam de alguma coisa.,0
Recebi a notícia de que vou viajar para um lugar que sempre quis conhecer.,1
Fico com um sorriso no rosto só de pensar em meu futuro.,1
O meu maior desejo é ver você feliz e realizado!,1
Estou me sentindo completamente vazio.,0
É difícil até mesmo acordar pela manhã.,0
Me sinto invisível e sem valor.,0
Me sinto um estranho no mundo.,0
Hoje é um dia lindo para ser feliz.,1
Sinto-me um peso para as pessoas ao meu redor.,0
Meu animal de estimação é a melhor companhia do mundo.,1
"A cada dia que passa, tenho mais certeza de que nascemos um para o outro.",1
Comprar algo que eu queria há muito tempo sempre me deixa feliz.,1
Sou grato por ter pessoas que me inspiram e me motivam a seguir em frente.,1
Eu me sinto traído.,0
Eu me sinto feliz por ter pessoas especiais ao meu lado.,1
Recebi a notícia de que minha viagem de trabalho foi adiantada.,1
Ninguém se importa comigo,0
Não há nada de bom em minha vida.,0
Eu estou com medo do futuro.,0
"Sorria mais, preocupe-se menos.",1
Não consigo encontrar nada positivo na minha vida e isso me deixa deprimido.,0
Agradeço por ter um trabalho que me realiza e me desafia.,1
Siga seu coração e veja onde ele te leva.,1
A paz interior se encontra no calor do seu abraço.,1
Obrigado por ser meu porto seguro!,1
Me sinto sozinho mesmo rodeado de pessoas.,0
Tenho muito orgulho de você!,1
Estou tão entediado que não sei o que fazer comigo mesmo.,0
Não acredito que mereço ser feliz.,0
O amor é o que nos mantém conectados de forma tão profunda.,1
Não aguento mais todas essas pressões e cobranças,0
30. Me sinto sufocado pela pressão de ter que ser perfeito o tempo todo.,0
Eu não tenho esperança.,0
Não tenho nenhum motivo para acordar de manhã.,0
Minha vida amorosa é um desastre.,0
A vida é mais bonita quando compartilhada com pessoas como você.,1
Consegui atingir uma meta pessoal e me sinto orgulhoso.,1
Aprecie as pequenas vitórias tanto quanto as grandes.,1
41. Nada parece fazer sentido quando você perde alguém importante.,0
"Não há nada melhor do que um dia de chuva em casa, com uma xícara de chá quente e um bom livro.",1
 ,1
O amor é sua maior força!,1
"Estou frustrado com a minha situação financeira, nunca consigo sair do vermelho.",0
Descobri uma nova música que me faz querer dançar.,1
Meus hobbies me proporcionam momentos de felicidade.,1
O abraço de alguém que amamos é inigualável.,1
Não consigo acreditar em mim mesmo.,0
Eu me senti abençoado hoje.,1
"Mesmo nos dias difíceis, consigo encontrar motivos para sorrir.",1
Estou muito grato por ter um emprego que me permite crescer e evoluir profissionalmente.,1
Estou sempre rodeado de pessoas incríveis.,1
O sorriso é meu cartão de visita e minha positividade meu diferencial.,1
A cada dia me torno mais forte e resiliente.,1
Agradeço pela comida deliciosa que me alimenta e me dá energia para enfrentar o dia.,1
Tenho uma vida plena e sou grato por tudo que tenho.,1
Não tenho forças para lutar contra as adversidades.,0
Não vejo uma perspectiva de melhora para minha vida.,0
Não sei como lidar com minhas emoções.,0
Briguei com meu melhor amigo e agora não sei se ele vai querer falar comigo de novo.,0
Minha vida é uma sucessão de desastres.,0
"Você é uma pessoa incrível, acredite sempre nisso.",1
Eu nunca serei feliz,0
"94. Às vezes, acho que vou viver para sempre nesse ciclo de tristeza e dor.",0
Recebi um comentário elogioso em uma rede social.,1
A cada dia que passa tenho menos amor-próprio e me sinto cada vez mais perdido.,0
Sinto-me preso em um ciclo de azar,0
Estou frustrado com meu trabalho.,0
Meu futuro é promissor.,1
Minha banda favorita lançou um novo álbum e estou amando as músicas.,1
Me sinto um completo fracasso,0
Eu não sou boa o suficiente para nada,0
Eu toco a vida das pessoas.,1
Eu me sinto humilhado por mim mesmo.,0
Tenho sorte por ter você como amigo!,1
Cada sorriso seu é um motivo para eu sorrir também.,1
Eu me sinto humilhado por mim mesmo.,0
Não tenho coragem de mudar,0
Eu acordo todos os dias com um sorriso no rosto.,1
Joguei conversa fora com meus amigos até altas horas.,1
Não tenho apoio emocional de ninguém.,0
A felicidade está nas pequenas coisas e momentos que compartilhamos.,1
Me sinto estagnado e sem motivação para mudar.,0
Sou capaz de superar qualquer desafio que apareça.,1
Não há nada que me faça sorrir genuinamente.,0
Consegui completar uma tarefa desafiadora com sucesso.,1
Estou vendo o pôr do sol da minha janela e agradeço por estar viva.,1
Adoro o som da chuva caindo no telhado.,1
A tristeza parece me seguir onde quer que eu vá.,0
Nada parece mudar ou melhorar,0
Meu relacionamento é um desastre,0
Fico com inveja das conquistas dos outros.,0
"Não sei como vou superar essa humilhação, é como se me arrancassem a alma.",0
Sua alegria é contagiante!,1
Sinto uma angústia constante que não passa,0
Minha vida é melhor com você nela.,1
A cada dia sou mais confiante e seguro de mim.,1
Hoje acordei com uma boa notícia e meu dia não poderia ser melhor.,1
"Consegui passar no exame de direção na primeira tentativa, estou orgulhoso de mim mesmo e muito feliz!",1
Minha vida é um ciclo de tristeza,0
Meu dia ficou mais colorido depois de receber essa boa notícia.,1
Não consigo encontrar beleza na vida.,0
As notícias do mundo estão cada vez mais desanimadoras.,0
Não sou bom o suficiente para nada.,0
O poder do seu abraço é inegável.,1
Estou com medo de falhar mais uma vez,0
Fui demitido sem nenhuma justificativa plausível.,0
Estou muito orgulhoso de mim mesmo por ter atingido um objetivo que parecia impossível.,1
A tristeza é minha única companheira.,0
É maravilhoso quando o plano B acaba sendo ainda melhor que o plano A.,1
Eu estou feliz por estar vivo.,1
Não aguento mais essa pressão.,0
Consegui finalmente terminar de ler um livro longo.,1
Estou animado(a) para começar a trabalhar no meu novo projeto.,1
Eu sou um bom colega de trabalho.,1
Não tenho saída.,0
Recebi um abraço caloroso de um amigo e me senti amparada.,1
Não consigo sair dessa espiral de negatividade,0
Eu estou ansioso por algo me machucar.,0
O amor que sinto pela vida é imensurável.,1
Um simples obrigado pode mudar o meu dia para melhor.,1
Fico triste em ver a maldade do ser humano.,0
Nada faz sentido e eu me sinto perdido.,0
O sucesso começa com a decisão de tentar.,1
"Faça mais do que apenas existir, viva com propósito.",1
Não consigo encontrar significado na minha vida.,0
"50. Não importa quantos amigos eu tenha, sempre me sinto sozinho.",0
Adoro fazer uma boa refeição com amigos queridos.,1
Minha vida é um pesadelo sem fim.,0
Fui convidado para um evento importante.,1
Eu me sinto desvalorizado pelo mundo.,0
Estou me sentindo completamente desesperado.,0
A vida é preciosa e eu a valorizo em todas as suas formas.,1
"Sinto que estou sempre no lugar errado, na hora errada",0
Eu estou zangado.,0
Seu esforço nunca passa despercebido!,1
Sinto que nunca conseguirei me livrar dos meus traumas.,0
O mundo é um lugar perigoso e hostil.,0
Minhas expectativas sempre são superadas.,1
Estou sempre me sentindo cansado e desanimado.,0
Já não sei mais o que fazer para emagrecer.,0
"Passei a tarde pintando, minha terapia.",1
Acho que não sou inteligente o bastante para ter sucesso.,0
"A bondade é contagiante, espalhe-a por aí.",1
Adoro quando encontro algo que estava procurando há muito tempo.,1
"Hoje o dia está maravilhoso, o sol está brilhando e o céu está azul. Não poderia estar mais contente!",1
Recebi uma mensagem de amor da pessoa que amo e meu dia ficou mais leve.,1
Sinto que sou um completo estranho no mundo.,0
Estou no controle da minha vida e sou responsável pela minha felicidade.,1
Eu estou ansioso por algo me decepcionar.,0
"A cada dia, me surpreendo com a força e a resiliência que tenho.",1
Eu amo o cheiro da chuva no verão.,1
Eu estou deprimido.,0
Amo minha família.,1
Não existe nada que eu não possa superar.,1
Minha família está em harmonia e unida.,1
Estou muito feliz por ter encontrado meu propósito e paixão na vida.,1
Fui traído(a) pelo meu melhor amigo(a).,0
A felicidade é minha companheira constante.,1
Meus pais sempre me comparam com outras pessoas,0
Eu sou feliz por estar vivo.,1
É maravilhoso quando a vida me presenteia com uma oportunidade única.,1
Cada dia que passa parece que estou cada vez mais longe dos meus sonhos.,0
Só atraio problemas e decepções.,0
Não há nada que me traga alegria.,0
A felicidade mora no teu olhar.,1
A felicidade mora nos pequenos detalhes do dia a dia.,1
"A cada dia, descubro uma nova razão para ser feliz.",1
Não tenho controle sobre minha própria vida.,0
Me sinto desmotivado(a) e sem esperança para o futuro.,0
Eu me sinto inútil.,0
Adoro quando consigo me superar e alcançar um objetivo que parecia impossível.,1
Minha geladeira estragou e tive que jogar toda a comida fora.,0
A vida parece tão injusta e cruel,0
Recebi más notícias e me sinto arrasado.,0
Meu time ganhou o jogo e estou em êxtase!,1
Obrigado por me apoiar em todas as minhas decisões!,1
Não sei mais o que é felicidade e isso me aterroriza.,0
Meu coração está partido e não sei mais o que fazer.,0
Você é muito inteligente!,1
Recebi um elogio sobre minha personalidade e me senti elogiado.,1
Aprendi algo novo e interessante hoje.,1
Minha jornada é repleta de experiências incríveis.,1
"Consegui passar na prova de matemática, estou me sentindo muito inteligente.",1
Eu faço a diferença na vida das pessoas.,1
"A felicidade não é algo que se busca, mas sim que se encontra dentro de nós.",1
14. Por que é tão difícil encontrar alguém em quem confiar de verdade?,0
"Estou farto de ter que esconder minhas verdadeiras emoções, ninguém se importa de verdade.",0
Sinto que ninguém se importa comigo de verdade.,0
"Não sei o que fazer para sair dessa crise financeira, me sinto impotente.",0
O riso é o remédio para a alma.,1
Eu estou com raiva da situação.,0
Hoje é um dia lindo e cheio de possibilidades.,1
Sou grato por todas as oportunidades de aprendizado e crescimento que a vida me dá.,1
